page_a,page_b,common_words,union_words,common_pct_jaccard
cafards-antony,xylophages-versailles,258,722,35.7341
cafards-arcueil,cafards-cachan,344,825,41.697
cafards-arcueil,cafards-chatenay-malabry,583,604,96.5232
cafards-arcueil,cafards-choisy-le-roi,270,768,35.1562
cafards-arcueil,cafards-clamart,583,601,97.005
cafards-arcueil,cafards-fresnes,329,816,40.3186
cafards-arcueil,cafards-gentilly,572,606,94.3894
cafards-arcueil,cafards-le-kremlin-bicetre,556,623,89.2456
cafards-arcueil,cafards-lhay-les-roses,346,812,42.6108
cafards-arcueil,cafards-orly,270,768,35.1562
cafards-arcueil,cafards-thiais,271,765,35.4248
cafards-arcueil,cafards-versailles,268,771,34.7601
cafards-arcueil,chenille-processionnaire-antony,264,767,34.4198
cafards-arcueil,chenille-processionnaire-chatenay-malabry,261,771,33.8521
cafards-arcueil,chenille-processionnaire-choisy-le-roi,264,765,34.5098
cafards-arcueil,chenille-processionnaire-orly,264,765,34.5098
cafards-arcueil,chenille-processionnaire-thiais,265,762,34.7769
cafards-arcueil,chenille-processionnaire-versailles,262,768,34.1146
cafards-arcueil,depigeonnage-antony,271,753,35.9894
cafards-arcueil,depigeonnage-chatenay-malabry,268,758,35.3562
cafards-arcueil,depigeonnage-choisy-le-roi,271,751,36.0852
cafards-arcueil,depigeonnage-orly,271,752,36.0372
cafards-arcueil,depigeonnage-thiais,272,749,36.3151
cafards-arcueil,depigeonnage-versailles,269,755,35.6291
cafards-arcueil,deratisation-antony,318,839,37.9023
cafards-arcueil,deratisation-chatenay-malabry,366,989,37.0071
cafards-arcueil,deratisation-chevilly-larue,313,842,37.1734
cafards-arcueil,deratisation-choisy-le-roi,309,815,37.9141
cafards-arcueil,deratisation-clamart,321,772,41.5803
cafards-arcueil,deratisation-orly,347,891,38.945
cafards-arcueil,deratisation-rungis,301,759,39.6574
cafards-arcueil,deratisation-thiais,366,990,36.9697
cafards-arcueil,deratisation-versailles,321,777,41.3127
cafards-arcueil,deratisation-villejuif,328,887,36.9786
cafards-arcueil,deratisation-vitry-sur-seine,351,870,40.3448
cafards-arcueil,fourmis-antony,267,752,35.5053
cafards-arcueil,fourmis-chatenay-malabry,264,756,34.9206
cafards-arcueil,fourmis-choisy-le-roi,267,750,35.6
cafards-arcueil,fourmis-orly,267,750,35.6
cafards-arcueil,fourmis-thiais,268,747,35.8768
cafards-arcueil,fourmis-versailles,265,753,35.1926
cafards-arcueil,frelon-asiatique-chatenay-malabry,257,757,33.9498
cafards-arcueil,frelon-asiatique-orly,260,751,34.6205
cafards-arcueil,frelon-asiatique-thiais,261,748,34.893
cafards-arcueil,frelons-antony,285,852,33.4507
cafards-arcueil,frelons-arcueil,172,748,22.9947
cafards-arcueil,frelons-choisy-le-roi,259,749,34.5794
cafards-arcueil,frelons-clamart,163,754,21.618
cafards-arcueil,frelons-gentilly,168,755,22.2517
cafards-arcueil,frelons-le-kremlin-bicetre,165,753,21.9124
cafards-arcueil,frelons-orly,259,749,34.5794
cafards-arcueil,frelons-thiais,260,746,34.8525
cafards-arcueil,frelons-versailles,266,895,29.7207
cafards-arcueil,guepes-antony,277,861,32.1719
cafards-arcueil,guepes-arcueil,169,750,22.5333
cafards-arcueil,guepes-chatenay-malabry,257,755,34.0397
cafards-arcueil,guepes-choisy-le-roi,262,756,34.6561
cafards-arcueil,guepes-clamart,160,755,21.1921
cafards-arcueil,guepes-gentilly,165,757,21.7966
cafards-arcueil,guepes-le-kremlin-bicetre,162,754,21.4854
cafards-arcueil,guepes-orly,260,749,34.713
cafards-arcueil,guepes-thiais,261,746,34.9866
cafards-arcueil,guepes-versailles,255,868,29.3779
cafards-arcueil,mouches-antony,264,754,35.0133
cafards-arcueil,mouches-chatenay-malabry,261,758,34.4327
cafards-arcueil,mouches-choisy-le-roi,264,752,35.1064
cafards-arcueil,mouches-orly,264,752,35.1064
cafards-arcueil,mouches-thiais,265,749,35.3805
cafards-arcueil,mouches-versailles,262,755,34.702
cafards-arcueil,punaises-de-lit-antony,297,865,34.3353
cafards-arcueil,punaises-de-lit-arcueil,571,604,94.5364
cafards-arcueil,punaises-de-lit-cachan,318,867,36.6782
cafards-arcueil,punaises-de-lit-chatenay-malabry,566,620,91.2903
cafards-arcueil,punaises-de-lit-choisy-le-roi,259,750,34.5333
cafards-arcueil,punaises-de-lit-clamart,566,617,91.7342
